Logan-75;12.05;597;05.81;1.61;65.05;20.89;04.95;5.67;42.88;5:10.19
Ramsey-13;19.21;560;05.84;1.56;80.94;19.62;79.61;2.83;84.01;5:22.83
Yates-65;15.41;378;07.21;0.98;63.25;15.36;43.32;2.51;100.32;6:04.66
Rogers-72;14.20;931;12.37;1.29;77.25;25.42;47.68;3.27;53.65;5:13.02
Bryan-2;20.37;610;07.40;0.17;52.59;26.34;11.89;1.68;53.90;8:27.64
Clarke-39;15.83;422;05.51;1.07;78.27;25.09;29.59;6.13;33.43;4:42.14
Adams-21;10.79;460;04.32;0.08;61.44;28.62;18.44;3.91;25.77;3:25.58
Manning-66;19.87;382;05.71;0.60;58.06;26.17;59.05;2.12;25.14;8:15.41
Boyd-61;17.27;669;03.03;2.28;77.00;24.18;06.65;3.09;77.20;4:44.58
Church-8;15.07;262;15.84;0.45;72.68;27.29;17.74;6.85;97.75;8:59.61
Copeland-58;13.75;742;07.37;1.75;64.38;13.27;35.86;5.57;37.16;7:00.88
Cole-65;15.44;597;10.69;1.80;62.34;18.42;34.30;4.46;24.21;4:51.31
Bridges-22;19.13;358;02.95;2.86;69.38;12.52;67.76;4.73;59.35;8:20.74
Grant-55;17.67;356;03.79;0.41;81.07;19.70;11.61;3.34;97.35;6:31.57
Alvarado-64;15.09;627;06.13;2.57;81.30;18.04;65.54;6.25;60.91;5:16.55
Wagner-41;16.66;797;13.18;0.31;77.26;17.62;47.26;5.89;8.52;5:02.30
Mcpherson-0;16.50;377;03.51;0.65;77.18;13.44;04.80;4.25;57.78;4:28.48
Acevedo-5;17.41;421;04.36;2.97;59.41;18.74;23.16;2.43;35.91;4:53.92
Wright-64;11.92;297;09.26;1.00;70.67;13.79;40.51;1.44;54.56;6:27.40
Lowe-56;12.54;618;01.32;2.81;58.28;17.88;64.42;5.70;100.76;7:47.78
